Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Nashville Hot Kentucky Grilled Chicken® Breast,138g,12g,1g,38g,0g,0g,790mg,130mg,260,3g,0g,0
Nashville Hot Kentucky Grilled Chicken® Drumstick,43g,6g,0g,11g,0g,0g,260mg,55mg,100,1.5g,0g,0
Nashville Hot Kentucky Grilled Chicken® Thigh,74g,12g,0g,17g,0g,0g,470mg,90mg,180,3.5g,0g,0
Nashville Hot Kentucky Grilled Chicken® Whole Wing,33g,6g,1g,9g,0g,0g,210mg,45mg,90,1.5g,0g,0
Nashville Hot Spicy Crispy Chicken Breast,171g,40g,14g,31g,1g,2g,1390mg,100mg,540,7g,0g,0
Nashville Hot Spicy Crispy Chicken Drumstick,53g,14g,6g,9g,0g,1g,510mg,40mg,190,2.5g,0g,0
Nashville Hot Spicy Crispy Chicken Thigh,94g,32g,12g,13g,1g,2g,900mg,65mg,390,6g,0g,0
Nashville Hot Spicy Crispy Chicken Whole Wing,43g,15g,5g,8g,0g,1g,450mg,35mg,180,2.5g,0g,0
Georgia Gold Extra Crispy Chicken Breast,201g,54g,21g,35g,3g,1g,1370mg,110mg,710,8g,0g,0
Georgia Gold Extra Crispy Chicken Drumstick,63g,18g,6g,11g,1g,1g,460mg,55mg,230,3g,0g,0
Georgia Gold Extra Crispy Chicken Thigh,128g,36g,11g,22g,2g,0g,860mg,105mg,460,6g,0g,0
Georgia Gold Extra Crispy Chicken Whole Wing,57g,19g,6g,10g,1g,1g,420mg,45mg,240,3g,0g,0
Georgia Gold Kentucky Grilled Chicken® Breast,135g,10g,1g,38g,1g,0g,760mg,130mg,250,2.5g,0g,0
Georgia Gold Kentucky Grilled Chicken® Drumstick,43g,6g,0g,11g,0g,0g,250mg,55mg,90,1.5g,0g,0
Georgia Gold Kentucky Grilled Chicken® Thigh,74g,11g,0g,17g,0g,0g,450mg,90mg,170,3g,0g,0
Georgia Gold Kentucky Grilled Chicken® Whole Wing,33g,6g,1g,9g,0g,0g,210mg,45mg,90,1.5g,0g,0
Georgia Gold Spicy Crispy Chicken Breast,172g,40g,15g,31g,3g,1g,1340mg,100mg,550,7g,0g,0
Georgia Gold Spicy Crispy Chicken Drumstick,52g,13g,6g,9g,1g,1g,480mg,40mg,180,2g,0g,0
Georgia Gold Spicy Crispy Chicken Thigh,91g,29g,12g,13g,1g,1g,830mg,65mg,360,5g,0g,0
Georgia Gold Spicy Crispy Chicken Whole Wing,43g,14g,6g,8g,1g,1g,420mg,35mg,180,2.5g,0g,0
Smoky Mountain BBQ Extra Crispy Chicken Breast,204g,51g,27g,35g,8g,0g,1220mg,105mg,710,8g,0g,0
Smoky Mountain BBQ Extra Crispy Chicken Drumstick,63g,16g,8g,11g,2g,1g,410mg,50mg,220,2.5g,0g,0
Smoky Mountain BBQ Extra Crispy Chicken Thigh,129g,33g,15g,22g,5g,0g,750mg,100mg,450,6g,0g,0
Smoky Mountain BBQ Extra Crispy Chicken Whole Wing,58g,18g,8g,10g,3g,0g,360mg,45mg,240,3g,0g,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Breast,138g,11g,2g,38g,2g,0g,730mg,130mg,260,3g,0g,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Drumstick,44g,5g,1g,11g,1g,0g,230mg,55mg,100,1.5g,0g,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Thigh,74g,11g,1g,17g,1g,0g,430mg,90mg,180,3g,0g,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Whole Wing,33g,5g,1g,9g,1g,0g,180mg,45mg,90,1.5g,0g,0
Smoky Mountain BBQ Spicy Crispy Chicken Breast,173g,36g,21g,31g,8g,1g,1170mg,100mg,530,6g,0g,0
Smoky Mountain BBQ Spicy Crispy Chicken Drumstick,54g,13g,8g,9g,3g,1g,450mg,40mg,190,2g,0g,0
Smoky Mountain BBQ Spicy Crispy Chicken Thigh,95g,30g,16g,13g,5g,1g,760mg,65mg,380,5g,0g,0
Smoky Mountain BBQ Spicy Crispy Chicken Whole Wing,44g,14g,8g,8g,3g,1g,380mg,35mg,180,2.5g,0g,0
Hot Honey Extra Crispy Chicken Breast,210g,49g,26g,35g,7g,1g,1630mg,105mg,680,8g,0g,0
Hot Honey Extra Crispy Chicken Drumstick,65g,16g,7g,11g,2g,1g,540mg,50mg,220,2.5g,0g,0
Hot Honey Extra Crispy Chicken Thigh,134g,32g,15g,22g,5g,0g,1040mg,100mg,440,6g,0g,0
Hot Honey Extra Crispy Chicken Whole Wing,60g,18g,8g,10g,3g,1g,510mg,45mg,230,3g,0g,0
Hot Honey Kentucky Grilled Chicken® Breast,140g,11g,3g,38g,2g,0g,860mg,130mg,260,3g,0g,0
Hot Honey Kentucky Grilled Chicken® Drumstick,44g,5g,1g,11g,1g,0g,270mg,55mg,90,1.5g,0g,0
Hot Honey Kentucky Grilled Chicken® Thigh,77g,12g,2g,17g,1g,0g,520mg,90mg,180,3.5g,0g,0
Hot Honey Kentucky Grilled Chicken® Whole Wing,34g,4.5g,1g,9g,1g,0g,230mg,45mg,80,1g,0g,0
Hot Honey Spicy Crispy Chicken Breast,177g,33g,19g,31g,7g,1g,1560mg,100mg,500,6g,0g,0
Hot Honey Spicy Crispy Chicken Drumstick,57g,13g,8g,9g,3g,1g,590mg,40mg,180,2g,0g,0
Hot Honey Spicy Crispy Chicken Thigh,97g,27g,15g,13g,4g,2g,1000mg,65mg,360,5g,0g,0
Hot Honey Spicy Crispy Chicken Whole Wing,43g,12g,7g,7g,2g,1g,480mg,35mg,160,2g,0g,0
BBQ Baked Beans,151.4g,1.5g,43g,14g,18g,9g,820mg,0mg,240,0g,0g,$3.59
Biscuit,50.4g,8g,22g,4g,1g,1g,520mg,0mg,180,4.5g,0g,$1.49
Coleslaw,113.5g,12g,14g,1g,10g,4g,180mg,5mg,170,2g,0g,$3.59
Corn on the Cob,71g,0.5g,17g,2g,3g,2g,0mg,0mg,70,0g,0g,0
Green Beans,86g,0g,4g,1g,1g,2g,260mg,0mg,25,0g,0g,$3.59
KFC® Cornbread Muffin,52g,9g,28g,3g,11g,1g,240mg,35mg,210,1.5g,0g,0
Macaroni & Cheese,135g,7g,20g,5g,2g,1g,660mg,5mg,160,1.5g,0g,$3.59
Macaroni Salad,96g,8g,14g,1g,9g,0g,290mg,15mg,140,1g,0g,0
Mashed Potatoes,101.5g,3g,15g,2g,0g,1g,290mg,0mg,90,0.5g,0g,$3.59
Mashed Potatoes With Gravy,145.4g,4g,18g,3g,0g,1g,510mg,0mg,120,1g,0g,0
Mashed Potatoes With Gravy (Fill Up Meal),187g,5g,23g,3g,0g,2g,650mg,0mg,150,1.5g,0g,$5.00
Potato Salad,116g,28g,19g,2g,3g,2g,290mg,25mg,340,4.5g,0g,0
Potato Wedges,107.5g,13g,34g,4g,0g,3g,700mg,0mg,270,1.5g,0g,$3.59
Sweet Kernel Corn,95g,0.5g,20g,3g,2g,2g,0mg,0mg,80,0g,0g,$3.59
BBQ Baked Beans (Family),498.6g,5g,142g,45g,61g,29g,2690mg,0mg,790,1g,0g,$1.79
Coleslaw (Family),415g,45g,53g,4g,37g,14g,660mg,10mg,630,7g,0g,$1.79
Corn on the Cob (Family),284g,2g,67g,9g,11g,8g,15mg,0mg,280,0g,0g,0
Green Beans (Family),342g,0.5g,17g,5g,3g,10g,1040mg,0mg,90,0g,0g,$1.79
Macaroni & Cheese (Family),456.9g,23g,66g,18g,8g,5g,2230mg,10mg,540,6g,0g,$1.79
Macaroni Salad (Family),335g,28g,50g,3g,30g,0g,990mg,55mg,480,3.5g,0g,0
Mashed Potatoes (Family),458g,13g,66g,9g,0g,6g,1290mg,0mg,420,2.5g,0g,0
Mashed Potatoes With Gravy (Family),693g,19g,82g,12g,1g,6g,2470mg,0mg,550,5g,0g,$20.00
Potato Salad (Family),405g,98g,65g,8g,12g,8g,1010mg,80mg,1200,16g,0g,0
Potato Wedges (Family),451.9g,54g,143g,16g,0g,14g,2930mg,0mg,1120,6g,0g,0
Sweet Kernel Corn (Family),312g,2.5g,65g,9g,8g,7g,10mg,0mg,270,0g,0g,0
Chicken Littles®,101.8g,15g,27g,14g,3g,1g,620mg,30mg,300,2.5g,0g,$1.69
Colonel's Crispy Sandwich,178.5g,25g,37g,24g,3g,2g,1170mg,60mg,460,3.5g,0g,$5.39
Crispy Twister®,234.6g,34g,53g,28g,3g,4g,1260mg,70mg,630,7g,0g,0
Georgia Gold Chicken Littles®,105.5g,18g,27g,14g,4g,1g,650mg,30mg,330,2.5g,0g,0
Georgia Gold Sandwich,186.8g,31g,38g,24g,4g,2g,1250mg,60mg,530,4.5g,0g,0
Honey BBQ Sandwich,165.9g,4g,53g,24g,21g,3g,1350mg,55mg,340,0.5g,0g,0
Hot Honey Chicken Littles®,108.6g,18g,28g,14g,5g,1g,720mg,30mg,330,2.5g,0g,0
Hot Honey Sandwich,190.8g,30g,40g,24g,6g,2g,1360mg,60mg,520,4.5g,0g,0
Nashville Hot Chicken Littles®,107.4g,19g,27g,14g,3g,1g,680mg,30mg,340,3g,0g,0
Nashville Hot Sandwich,188.2g,33g,38g,24g,4g,2g,1290mg,60mg,530,4.5g,0g,0
Smoky Mountain BBQ Chicken Littles®,106.9g,18g,28g,14g,5g,1g,630mg,30mg,330,2.5g,0g,0
Smoky Mountain BBQ Sandwich,189.2g,31g,41g,24g,7g,2g,1200mg,60mg,540,4.5g,0g,0
Chicken Pot Pie,380g,41g,60g,26g,5g,7g,1750mg,80mg,720,25g,0g,$28.99
KFC® Famous Bowl,530.4g,34g,79g,26g,3g,6g,2370mg,45mg,720,7g,0g,$6.19
KFC® Famous Bowl - Snack Size,182.4g,13g,27g,11g,1g,2g,820mg,20mg,270,3.5g,0g,0
Caesar Side Salad,91.2g,2g,2g,3g,1g,1g,90mg,5mg,40,1g,0g,0
House Side Salad,104.8g,0g,3g,1g,2g,2g,10mg,0mg,15,0g,0g,0
Heinz Buttermilk Dressing,28g,17g,1g,0g,1g,0g,220mg,10mg,160,2g,0g,0
Hidden Valley The Original Ranch Fat Free Dressing,43g,0g,8g,1g,2g,0g,410mg,0mg,35,0g,0g,$36.99
KFC® Creamy Parmesan Caesar Dressing,57g,26g,4g,2g,2g,0g,540mg,15mg,260,5g,0g,0
Marzetti Light Italian Dressing,28g,0.5g,2g,0g,1g,0g,510mg,0mg,15,0g,0g,0
Parmesan Garlic Croutons,14g,3g,8g,2g,1g,1g,135mg,0mg,60,0g,0g,0
Apple Turnover,81g,10g,32g,2g,12g,1g,140mg,0mg,230,2.5g,0g,0
Café Valley Chocolate Chip Cake (1 Slice),76g,15g,39g,4g,27g,1g,260mg,50mg,300,3g,0g,0
Café Valley Lemon Cake (1 Slice),56g,10g,30g,2g,20g,0g,170mg,30mg,220,2g,0g,0
Café Valley Mini Chocolate Chip Cake,85g,12g,49g,3g,35g,1g,190mg,40mg,300,2.5g,0g,$5.00
Café Valley Mini Lemon Cake,85g,13g,43g,3g,31g,0g,230mg,50mg,300,2.5g,0g,0
Chocolate Chip Cookie,33g,8g,22g,1g,15g,1g,85mg,10mg,160,4g,0g,$3.99
Oatmeal Raisin Cookie,33g,6g,22g,2g,13g,1g,90mg,10mg,150,2.5g,0g,0
Oreo Cookies and Crème Pie,74g,13g,35g,3g,24g,1g,210mg,5mg,270,8g,0g,$1.29
Reese's Peanut Butter Pie,71g,17g,33g,5g,22g,1g,270mg,5mg,300,9g,0g,$8.49
Buttermilk Ranch Dipping Sauce Cup,25g,10g,2g,0g,1g,0g,240mg,10mg,100,1.5g,0g,0
Colonel's Buttery Spread,6g,4g,0g,0g,0g,0g,35mg,0mg,35,1.5g,0g,0
Creamy Buffalo Dipping Sauce Cup,25g,7g,2g,0g,0g,0g,510mg,5mg,70,1g,0g,0
Finger Lickin' Good Dipping Sauce Cup,28g,12g,5g,1g,5g,0g,180mg,10mg,130,2g,0g,0
Grape Jelly Packet,14g,0g,9g,0g,7g,0g,10mg,0mg,35,0g,0g,0
Honey Mustard Dipping Sauce Cup,25g,10g,6g,0g,5g,0g,110mg,5mg,120,1.5g,0g,0
Honey Sauce Packet,9g,0g,8g,0g,5g,0g,0mg,0mg,30,0g,0g,0
Ketchup,27g,0g,8g,0g,6g,0g,250mg,0mg,30,0g,0g,0
Lemon Juice Packet,4g,0g,1g,0g,0g,0g,20mg,0mg,5,0g,0g,$3.99
Strawberry Jam Packet,14g,0g,9g,0g,6g,0g,0mg,0mg,35,0g,0g,0
Summertime BBQ Dipping Sauce Cup,25g,0g,9g,0g,8g,0g,310mg,0mg,40,0g,0g,0
Sweet N Tangy Dipping Sauce Cup,25g,0g,12g,0g,10g,0g,105mg,0mg,45,0g,0g,0
Capri Sun® 100% Juice Fruit Punch,,0g,21g,0g,20g,0g,25mg,0mg,80,0g,0g,$42.99
Chocolate Milk 1%,7g,2.5g,26g,7g,23g,0g,170mg,10mg,150,1.5g,0g,0
Milk 1%,7g,2g,10g,7g,10g,0g,105mg,10mg,90,1.5g,0g,0
Milk 2%,10g,6g,17g,12g,16g,0g,180mg,25mg,170,4g,0g,0
Musselman's Applesauce,90g,0g,12g,0g,8g,1g,0mg,0mg,45,0g,0g,0
7UP® (12 fl oz),,0g,35g,0g,35g,0g,50mg,0mg,140,0g,0g,0
7UP® (16 fl oz),,0g,46g,0g,46g,0g,70mg,0mg,190,0g,0g,0
7UP® (20 fl oz),,0g,58g,0g,58g,0g,85mg,0mg,240,0g,0g,0
7UP® (30 fl oz),,0g,87g,0g,87g,0g,125mg,0mg,350,0g,0g,0
Code Red Mountain Dew® (12 fl oz),,0g,46g,0g,46g,0g,50mg,0mg,170,0g,0g,0
Code Red Mountain Dew® (16 fl oz),,0g,62g,0g,62g,0g,65mg,0mg,230,0g,0g,0
Code Red Mountain Dew® (20 fl oz),,0g,77g,0g,77g,0g,85mg,0mg,290,0g,0g,0
Code Red Mountain Dew® (30 fl oz),,0g,116g,0g,115g,0g,125mg,0mg,430,0g,0g,0
Diet Dr Pepper® (12 fl oz),,0g,0g,0g,0g,0g,70mg,0mg,0,0g,0g,0
Diet Dr Pepper® (16 fl oz),,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g,0
Diet Dr Pepper® (20 fl oz),,0g,0g,0g,0g,0g,120mg,0mg,0,0g,0g,0
Diet Dr Pepper® (30 fl oz),,0g,0g,0g,0g,0g,180mg,0mg,0,0g,0g,0
Diet Mist Twst® (12 fl oz),,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g,0
Diet Mist Twst® (16 fl oz),,0g,0g,0g,0g,0g,50mg,0mg,0,0g,0g,0
Diet Mist Twst® (20 fl oz),,0g,0g,0g,0g,0g,60mg,0mg,0,0g,0g,0
Diet Mist Twst® (30 fl oz),,0g,0g,0g,0g,0g,95mg,0mg,5,0g,0g,0
Diet Mountain Dew® (12 fl oz),,0g,1g,0g,0g,0g,55mg,0mg,0,0g,0g,0
Diet Mountain Dew® (16 fl oz),,0g,1g,0g,0g,0g,75mg,0mg,5,0g,0g,0
Diet Mountain Dew® (20 fl oz),,0g,1g,0g,1g,0g,90mg,0mg,10,0g,0g,0
Diet Mountain Dew® (30 fl oz),,0g,1g,0g,1g,0g,140mg,0mg,10,0g,0g,0
Diet Pepsi® (12 fl oz),,0g,0g,0g,0g,0g,55mg,0mg,0,0g,0g,0
Diet Pepsi® (16 fl oz),,0g,0g,0g,0g,0g,75mg,0mg,0,0g,0g,0
Diet Pepsi® (20 fl oz),,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g,0
Diet Pepsi® (30 fl oz),,0g,0g,0g,0g,0g,140mg,0mg,0,0g,0g,0
Diet Pepsi® Wild Cherry Pepsi® (12 fl oz),,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g,0
Diet Pepsi® Wild Cherry Pepsi® (16 fl oz),,0g,0g,0g,0g,0g,50mg,0mg,0,0g,0g,0
Diet Pepsi® Wild Cherry Pepsi® (20 fl oz),,0g,0g,0g,0g,0g,60mg,0mg,0,0g,0g,0
Diet Pepsi® Wild Cherry Pepsi® (30 fl oz),,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g,0
Dole® Classic Lemonade (1/2 Gallon),,0g,234g,0g,228g,0g,780mg,0mg,880,0g,0g,$3.49
Dole® Classic Lemonade (20 fl oz),,0g,39g,0g,38g,0g,130mg,0mg,140,0g,0g,0
Dole® Strawberry Lemonade (1/2 Gallon),,0g,270g,0g,264g,0g,790mg,0mg,950,0g,0g,$3.99
Dole® Strawberry Lemonade (20 fl oz),,0g,45g,0g,44g,0g,130mg,0mg,170,0g,0g,$2.29
Dr Pepper® (12 fl oz),,0g,39g,0g,38g,0g,45mg,0mg,140,0g,0g,0
Dr Pepper® (16 fl oz),,0g,52g,0g,51g,0g,60mg,0mg,190,0g,0g,0
Dr Pepper® (20 fl oz),,0g,65g,0g,64g,0g,75mg,0mg,240,0g,0g,0
Dr Pepper® (30 fl oz),,0g,98g,0g,96g,0g,110mg,0mg,360,0g,0g,0
Lipton® Brisk® Lemon Tea (12 fl oz),,0g,22g,0g,22g,0g,40mg,0mg,80,0g,0g,0
Lipton® Brisk® Lemon Tea (16 fl oz),,0g,29g,0g,29g,0g,55mg,0mg,110,0g,0g,0
Lipton® Brisk® Lemon Tea (20 fl oz),,0g,36g,0g,36g,0g,70mg,0mg,140,0g,0g,0
Lipton® Brisk® Lemon Tea (30 fl oz),,0g,55g,0g,54g,0g,105mg,0mg,210,0g,0g,0
Lipton® Brisk® No Calorie Peach Iced Green Tea (12 fl oz),,0g,0g,0g,0g,0g,105mg,0mg,0,0g,0g,0
Lipton® Brisk® No Calorie Peach Iced Green Tea (16 fl oz),,0g,0g,0g,0g,0g,140mg,0mg,0,0g,0g,0
Lipton® Brisk® No Calorie Peach Iced Green Tea (20 fl oz),,0g,0g,0g,0g,0g,180mg,0mg,5,0g,0g,0
Lipton® Brisk® No Calorie Peach Iced Green Tea (30 fl oz),,0g,0g,0g,0g,0g,270mg,0mg,10,0g,0g,0
Lipton® Brisk® Raspberry Tea (12 fl oz),,0g,20g,0g,20g,0g,45mg,0mg,80,0g,0g,0
Lipton® Brisk® Raspberry Tea (16 fl oz),,0g,26g,0g,26g,0g,55mg,0mg,100,0g,0g,0
Lipton® Brisk® Raspberry Tea (20 fl oz),,0g,33g,0g,33g,0g,70mg,0mg,130,0g,0g,0
Lipton® Brisk® Raspberry Tea (30 fl oz),,0g,49g,0g,49g,0g,110mg,0mg,190,0g,0g,0
Lipton® Brisk® Sweet Iced Tea (12 fl oz),,0g,22g,0g,21g,0g,45mg,0mg,80,0g,0g,0
Lipton® Brisk® Sweet Iced Tea (16 fl oz),,0g,29g,0g,29g,0g,65mg,0mg,110,0g,0g,0
Lipton® Brisk® Sweet Iced Tea (20 fl oz),,0g,36g,0g,36g,0g,80mg,0mg,130,0g,0g,0
Lipton® Brisk® Sweet Iced Tea (30 fl oz),,0g,54g,0g,54g,0g,120mg,0mg,200,0g,0g,0
Lipton® Brisk® Unsweetened No Lemon Iced Tea (12 fl oz),,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g,0
Lipton® Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),,0g,0g,0g,0g,0g,60mg,0mg,0,0g,0g,0
Lipton® Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),,0g,0g,0g,0g,0g,75mg,0mg,0,0g,0g,0
Lipton® Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),,0g,0g,0g,0g,0g,115mg,0mg,0,0g,0g,0
Manzanita Sol® (12 fl oz),,0g,42g,0g,42g,0g,35mg,0mg,160,0g,0g,0
Manzanita Sol® (16 fl oz),,0g,57g,0g,57g,0g,45mg,0mg,210,0g,0g,0
Manzanita Sol® (20 fl oz),,0g,71g,0g,71g,0g,55mg,0mg,260,0g,0g,0
Manzanita Sol® (30 fl oz),,0g,106g,0g,106g,0g,80mg,0mg,400,0g,0g,0
Miranda® Strawberry (12 fl oz),,0g,44g,0g,44g,0g,70mg,0mg,160,0g,0g,0
Miranda® Strawberry (16 fl oz),,0g,58g,0g,58g,0g,95mg,0mg,220,0g,0g,0
Miranda® Strawberry (20 fl oz),,0g,73g,0g,73g,0g,120mg,0mg,270,0g,0g,0
Miranda® Strawberry (30 fl oz),,0g,109g,0g,109g,0g,180mg,0mg,410,0g,0g,0
Mist Twst® (12 fl oz),,0g,41g,0g,41g,0g,35mg,0mg,150,0g,0g,0
Mist Twst® (16 fl oz),,0g,54g,0g,54g,0g,45mg,0mg,200,0g,0g,0
Mist Twst® (20 fl oz),,0g,68g,0g,68g,0g,55mg,0mg,260,0g,0g,0
Mist Twst® (30 fl oz),,0g,101g,0g,101g,0g,80mg,0mg,380,0g,0g,0
Mountain Dew® (12 fl oz),,0g,44g,0g,44g,0g,50mg,0mg,160,0g,0g,0
Mountain Dew® (16 fl oz),,0g,59g,0g,58g,0g,70mg,0mg,220,0g,0g,0
Mountain Dew® (20 fl oz),,0g,73g,0g,73g,0g,85mg,0mg,270,0g,0g,0
Mountain Dew® (30 fl oz),,0g,110g,0g,109g,0g,125mg,0mg,410,0g,0g,0
Mug Root Beer® (12 fl oz),,0g,39g,0g,39g,0g,45mg,0mg,140,0g,0g,0
Mug Root Beer® (16 fl oz),,0g,52g,0g,52g,0g,60mg,0mg,190,0g,0g,0
Mug Root Beer® (20 fl oz),,0g,65g,0g,65g,0g,75mg,0mg,240,0g,0g,0
Mug Root Beer® (30 fl oz),,0g,98g,0g,98g,0g,110mg,0mg,360,0g,0g,0
Pepsi® (12 fl oz),,0g,41g,0g,41g,0g,30mg,0mg,150,0g,0g,0
Pepsi® (16 fl oz),,0g,55g,0g,55g,0g,45mg,0mg,200,0g,0g,0
Pepsi® (20 fl oz),,0g,69g,0g,69g,0g,55mg,0mg,250,0g,0g,0
Pepsi® (30 fl oz),,0g,104g,0g,103g,0g,80mg,0mg,380,0g,0g,0
Pepsi Zero Sugar® (12 fl oz),,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g,0
Pepsi Zero Sugar® (16 fl oz),,0g,0g,0g,0g,0g,50mg,0mg,0,0g,0g,0
Pepsi Zero Sugar® (20 fl oz),,0g,0g,0g,0g,0g,60mg,0mg,0,0g,0g,0
Pepsi Zero Sugar® (30 fl oz),,0g,1g,0g,0g,0g,95mg,0mg,0,0g,0g,0
Sobe Lifewater Yumberry Pomegranate (12 fl oz),,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g,0
Sobe Lifewater Yumberry Pomegranate (16 fl oz),,0g,0g,0g,0g,0g,65mg,0mg,0,0g,0g,0
Sobe Lifewater Yumberry Pomegranate (20 fl oz),,0g,0g,0g,0g,0g,80mg,0mg,0,0g,0g,0
Sobe Lifewater Yumberry Pomegranate (30 fl oz),,0g,1g,0g,0g,0g,120mg,0mg,5,0g,0g,0
Tropicana® Fruit Punch (12 fl oz),,0g,45g,0g,45g,0g,35mg,0mg,170,0g,0g,0
Tropicana® Fruit Punch (16 fl oz),,0g,60g,0g,60g,0g,45mg,0mg,230,0g,0g,0
Tropicana® Fruit Punch (20 fl oz),,0g,75g,0g,75g,0g,60mg,0mg,280,0g,0g,0
Tropicana® Fruit Punch (30 fl oz),,0g,113g,0g,112g,0g,90mg,0mg,420,0g,0g,0
Tropicana® Light Lemonade (12 fl oz),,0g,0g,0g,0g,0g,140mg,0mg,5,0g,0g,0
Tropicana® Light Lemonade (16 fl oz),,0g,0g,0g,0g,0g,190mg,0mg,10,0g,0g,0
